register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿99400603243,"Parada de taxis * C Diputació, 255",,,2018-07-10T16:09:19+02:00,2024-08-02T14:28:18.717959+02:00,,,100800,C Diputació,255,,07,la Dreta de l'Eixample,02,Eixample,08007,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430274.9216424095,4582339.502331213,41.38956532469674,2.1660156619824793,,,
﻿99400603207,"Parada de taxis * Pg Andreu Nin, 31",,,2018-07-10T16:09:19+02:00,2024-08-02T15:23:33.022860+02:00,,,700021,Pg Andreu Nin,31,,45,Porta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431646.40428279096,4587407.824196549,41.435331756738655,2.1818458049658225,,,
﻿99400603209,"Parada de taxis * C Ciutat d'Asunción, 35",,,2018-07-10T16:09:19+02:00,2024-08-02T14:26:50.080758+02:00,,,080101,C Ciutat d'Asunción,35,,59,el Bon Pastor,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,433183.6222723803,4587872.09898082,41.439642699929145,2.200192364417798,,,
﻿99400603210,"Parada de taxis * Av Estadi, 47",,,2018-07-10T16:09:19+02:00,2024-08-02T14:11:21.891170+02:00,,,116402,Av Estadi,47,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429188.8757421403,4579756.491318496,41.36620614445427,2.153328555530478,,,
﻿99400603213,"Parada de taxis * C Casanova, 158",,,2018-07-10T16:09:19+02:00,2024-08-02T14:26:30.924765+02:00,,,070607,C Casanova,158,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429212.71495741076,4582383.759678674,41.38987115557885,2.1533067161252193,,,
﻿99400603218,"Parada de taxis * C Enric Granados, 76",,,2018-07-10T16:09:19+02:00,2024-08-02T14:29:02.999084+02:00,,,110304,C Enric Granados,76,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08008,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429457.71251240495,4582687.817763292,41.392631223400386,2.1562014362985784,,,
﻿99400603221,"Parada de taxis * C Balmes, 289",,,2018-07-10T16:09:19+02:00,2024-08-02T14:22:24.089710+02:00,,,032700,C Balmes,289,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428680.03485860745,4583686.956853891,41.4015614981018,2.1467824675706675,,,
﻿99400603000,"Parada de taxis * C Pelai, 20",,,2018-07-10T16:09:18+02:00,2024-08-02T14:31:17.560201+02:00,,,250904,C Pelai,20,,01,el Raval,01,Ciutat Vella,08001,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430295.259532819,4581914.30348445,41.38573745955504,2.166307824564848,,,
﻿99400603003,"Parada de taxis * Pl Karl Marx, 1",,,2018-07-10T16:09:18+02:00,2024-08-02T14:47:24.263048+02:00,,,700013,Pl Karl Marx,1,,43,Horta,07,Horta-Guinardó,08035,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430031.4558241437,4588039.284715358,41.440879978582444,2.1624446185604245,,,
﻿99400603007,"Parada de taxis * C Doctor Aiguader, 88",,,2018-07-10T16:09:18+02:00,2024-08-02T14:28:37.860561+02:00,,,700813,C Doctor Aiguader,88,,03,la Barceloneta,01,Ciutat Vella,08003,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432607.15706546674,4581881.1112770885,41.3856355078393,2.1939599196205677,,,
﻿99400603013,"Parada de taxis * C Diputació, 233",,,2018-07-10T16:09:18+02:00,2024-08-02T14:28:11.009646+02:00,,,100800,C Diputació,233,,07,la Dreta de l'Eixample,02,Eixample,08007,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430119.05418479163,4582207.588586176,41.388363694796524,2.1641667333509362,,,
﻿99400603122,"Parada de taxis * Av Marquès de l'Argentera, 6",,,2018-07-10T16:09:19+02:00,2024-08-02T14:17:47.273762+02:00,,,198203,Av Marquès de l'Argentera,6,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431876.95818498236,4581776.696149725,41.384633566246606,2.1852390891308495,,,
﻿99400603125,"Parada de taxis * Trav Gràcia, 212",,,2018-07-10T16:09:19+02:00,2024-08-02T15:30:50.168819+02:00,,,344101,Trav Gràcia,212,,31,la Vila de Gràcia,06,Gràcia,08012,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429920.62376145757,4583898.322051821,41.403574278741345,2.161597916753199,,,
﻿99400603127,"Parada de taxis * C Mirador del Palau Nacional, 2",,,2018-07-10T16:09:19+02:00,2024-08-02T14:44:56.332379+02:00,,,700068,C Mirador del Palau Nacional,2,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429075.2387928959,4580015.552765045,41.3685294224539,2.1519396694633626,,,
﻿99400603281,"Parada de taxis * Pl Joan Peiró, 1",,,2018-07-10T16:09:20+02:00,2024-08-02T14:47:17.102593+02:00,,,700156,Pl Joan Peiró,1,,18,Sants,03,Sants-Montjuïc,08014,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428045.55356356467,4581159.052384067,41.37873711993252,2.1394931317507737,,,
﻿99400603284,"Parada de taxis * Moll Adossat, 8",,,2018-07-10T16:09:20+02:00,2024-08-02T15:20:53.682553+02:00,,,540074,Moll Adossat,8,,12,la Marina del Prat Vermell,03,Sants-Montjuïc,08039,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431112.02932077844,4578360.886346986,41.35380316276404,2.1764794071273164,,,
﻿99400603287,"Parada de taxis * Pg Mare Nostrum, 13",,,2018-07-10T16:09:20+02:00,2024-08-02T15:24:19.382154+02:00,,,701644,Pg Mare Nostrum,13,,03,la Barceloneta,01,Ciutat Vella,08039,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432184.72253482556,4580081.392760372,41.369390406366364,2.189109317396892,,,
﻿99400603081,"Parada de taxis * C Mallorca, 422",,,2018-07-10T16:09:18+02:00,2024-08-02T14:42:15.473763+02:00,,,191204,C Mallorca,422,,06,la Sagrada Família,02,Eixample,08013,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431108.185225529,4583891.825359167,41.403618406536786,2.1758047514067025,,,
